Train loss,Val loss,Train class accuracy,Train No object accuracy,Train object accuracy,Val class accuracy,Val No object accuracy,Val object accuracy,mAP
1.275601727,2.687490634,96.2851,99.9184,89.0562,89.3082,99.932,74.2138,0.7142
1.395142882,2.746448381,95.935,99.9318,85.2642,85.6269,99.9447,72.7829,0.5915
1.385666451,3.152686596,95.107,99.9402,83.5882,84.4237,99.9523,67.9128,0.4715
1.374609507,2.6934598,95.9204,99.9328,81.592,90.1235,99.9424,67.284,0.6498
1.296461253,2.363659654,96.748,99.9406,83.1301,92.0635,99.9514,69.5238,0.5816
1.379889398,2.756525551,96.5552,99.9175,88.3485,88.9937,99.9317,75.7862,0.6232
1.237025261,2.7524755,96.7871,99.9443,83.9357,88.3648,99.9518,69.8113,0.5923
1.084612875,2.933634162,96.8205,99.947,86.7692,86.1386,99.9532,70.297,0.7067
1.263364789,3.595524413,94.1414,99.9236,86.8687,80.2589,99.9439,66.6667,0.5403
1.359663191,2.928578343,96.1962,99.9295,82.0821,86.6044,99.9486,66.0436,0.5725
1.353257646,2.975340128,95.0655,99.9343,88.1168,82.8746,99.9451,71.2538,0.5514
1.150909937,2.699756316,96.7066,99.9373,87.9242,88.3648,99.9502,71.3837,0.6857
1.141731335,3.036287308,96.84,99.9079,88.5831,85.4938,99.9206,76.2346,0.6127
1.158694366,2.995633602,97.998,99.9337,87.2873,90.1961,99.9472,75.817,0.6458
1.158393171,2.276654891,96.9337,99.9364,82.5915,88.9968,99.9562,67.3139,0.6547
1.126138275,2.942120177,97.137,99.9237,88.2413,87.8205,99.9419,73.3974,0.6951
1.134814006,2.703356743,97.4359,99.9421,84.4103,89.2966,99.9485,72.4771,0.6759
1.163433249,2.909207174,96.3303,99.9483,81.3456,87.7888,99.9565,74.2574,0.6593
1.336502695,2.985377737,95.8586,99.9233,90.9091,88.4848,99.9346,75.1515,0.6505
1.168694574,3.149818437,95.3535,99.9495,83.7374,86,99.9633,65.6667,0.6366
1.203295861,2.887626989,97.1545,99.9341,86.2805,89.9371,99.9505,71.0692,0.6546
1.188418378,2.650637116,96.8969,99.9342,86.7868,89.6226,99.9466,74.8428,0.5953
1.00246162,2.74165552,97.3974,99.9329,84.985,87.6543,99.9466,71.2963,0.6062
0.884222577,2.712038176,97.2644,99.9288,89.767,89.2064,99.9405,74.6032,0.7118
1.096169568,3.03423529,96.1616,99.9371,86.3636,86.6044,99.9515,70.405,0.628
1.172414715,3.12583845,97.0796,99.9457,86.9084,85.8491,99.9528,71.0692,0.5917
1.102646097,2.949058328,95.9596,99.9559,82.2222,89.7196,99.9666,63.2399,0.5375
1.017639414,2.957348653,96.7262,99.9362,90.4762,86.7868,99.9518,68.7688,0.6906
1.076518681,2.853501252,96.0486,99.9285,86.8288,87.8505,99.9532,66.6667,0.6743
1.130006144,2.834245648,96.3636,99.9188,89.4949,84.7619,99.9406,73.3333,0.6566
1.118674918,2.706022365,97.771,99.9409,87.8419,86.4198,99.9483,72.5309,0.6972
1.062118108,2.888785737,98.0632,99.9322,84.7095,87.2274,99.948,67.6012,0.6546
1.115045612,3.116797379,96.4646,99.9179,90.404,83.1776,99.9297,72.2741,0.4862
1.075566134,2.982938903,96.5235,99.9377,84.7648,87.619,99.9544,71.4286,0.639
1.032496121,2.835688523,98.1763,99.9395,87.234,84.9057,99.9561,70.7547,0.5943
0.933197138,3.470818826,94.9187,99.9261,88.8211,80.1887,99.9491,75.1572,0.5908
0.960493787,3.112649202,97.0528,99.9453,86.3821,86.9841,99.961,65.0794,0.6656
1.180950548,3.118052074,97.9424,99.9443,84.8765,86.7924,99.958,66.6667,0.544
1.089901274,3.169518709,97.2393,99.9531,81.7996,83.3333,99.9663,64.1026,0.6044
1.126341561,3.109851531,95.7425,99.9292,88.8889,89.4081,99.943,71.9626,0.6205
1.075563081,3.059400678,96.0606,99.9431,83.5354,83.3333,99.9543,66.3522,0.6494
1.145338636,2.654408898,96.5447,99.9286,88.9228,87.7358,99.9446,72.956,0.6319
1.088771501,2.864135776,96.3636,99.961,80,85.8025,99.9735,59.2593,0.6292
1.00923045,2.897865874,97.006,99.9433,87.9242,88.4735,99.9536,72.2741,0.6626
0.937613951,2.676654237,97.9798,99.9378,90.202,86.1386,99.9596,71.6172,0.596
1.058694922,3.087981973,96.4859,99.9344,88.9558,84.4444,99.9557,69.2064,0.7079
1.103495652,3.436705623,95.3252,99.9387,84.9594,87.619,99.9611,70.1587,0.6181
1.276485391,3.165765643,96.7579,99.9397,84.0932,85.0153,99.9399,74.6177,0.6471
1.054026956,2.616695608,95.1244,99.9628,76.6169,91.4286,99.9682,65.3968,0.592
1.115073795,2.655987024,98.6948,99.9428,87.751,89.5425,99.957,64.7059,0.6734
1.171244507,2.76125615,96.3184,99.9518,83.2836,90.566,99.9643,66.0377,0.6504
1.13271663,2.425815548,97.6554,99.935,88.4811,87.963,99.9491,71.6049,0.7334
1.007215191,2.855521696,97.2393,99.9466,87.2188,85.0794,99.9616,69.5238,0.5963
0.976078391,3.098769239,98.1651,99.9339,88.8889,88.8889,99.9487,69.8413,0.7408
1.071033584,2.791107007,97.2393,99.9502,84.5603,86.1635,99.958,67.9245,0.7019
1.003888034,2.927726984,95.9473,99.94,86.5248,87.2274,99.953,73.5202,0.701
0.981240262,3.125992298,98.6948,99.9184,91.9679,84.1424,99.9397,78.6408,0.5891
0.961615705,2.83542054,97.1631,99.949,85.2077,84.9057,99.9607,71.0692,0.6659
1.097164965,2.598993404,97.6908,99.9465,86.5462,87.963,99.959,65.4321,0.6751
1.096217518,2.482505628,96.3746,99.9343,88.3182,86.5443,99.9392,75.5352,0.6902
1.107243069,2.652737669,96.9419,99.9447,88.787,85.8859,99.958,69.6697,0.6395
1.090228047,2.818333217,95.7949,99.92,90.1538,84.8485,99.9364,75.7576,0.6655
1.173993111,3.017275027,95.3234,99.9302,87.1642,84.8485,99.9467,73.9394,0.6447
1.203687914,2.847291844,93.3333,99.9423,84.1414,81.8182,99.955,64.5455,0.7141
1.14055887,3.026790823,95.3109,99.9342,88.5831,86.5385,99.9557,71.7949,0.5884
1.013478054,2.930395739,96.5657,99.9311,88.6869,85.1133,99.9452,72.1683,0.6495
0.99895888,3.068192005,96.9605,99.931,90.3749,85.9327,99.9429,74.9235,0.6595
1.140603014,2.752903155,97.7642,99.9416,89.939,86,99.9544,70.3333,0.5016
1.148712933,3.058607885,97.1803,99.9525,83.8872,87.8205,99.9673,62.8205,0.5265
1.071609238,3.114408936,95.6827,99.9281,89.8594,86.7284,99.9433,72.5309,0.6869
1.039968794,2.804908105,97.9229,99.9317,91.3947,87.037,99.9434,74.0741,0.707
0.940598651,2.552207862,97.3896,99.9481,87.5502,88.4735,99.9641,76.0125,0.6416
0.983198166,2.895496913,97.8723,99.934,89.8683,88.0259,99.9487,77.3463,0.6324
0.874829764,2.896742514,98.2932,99.9364,91.4659,84.6608,99.9549,72.5664,0.6583
0.902225129,3.254282032,96.8687,99.9466,89.3939,86.8502,99.9562,70.6422,0.6361
1.01704852,2.829830953,98.3838,99.9308,90.9091,87.1069,99.9492,72.956,0.6336
